id	progress	finished	recorded_date	q3_1	q3_6	q3_7	q3_2	q3_3	q3_4	q3_8	q3_9	q3_5	q4	q6_1_1	q6_1_2	q6_1_3	q7	q8_1_1	q8_1_2	q8_1_3	q9_1	q9_2	q10_1	q10_2	q10_3	q10_4	q10_5	q10_6	q10_7	q10_8	q10_9	q11	q12	q13	q14	q15_1	q15_2	q15_3	q15_4	q15_6	q15_5	q16	q18	q21	q22	duration_mins	progress_cat	adequate1	adequate2	any_adequate
1	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	24	NA	NA	NA	131	23	20	25	Yes	No	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	19.9166666666667	(75,100]	Yes	No	Yes
3	100	TRUE	2024-05-20	NA	NA	NA	NA	NA	NA	NA	NA	Other - please specify	8	110	NA	NA	100	50	40	60	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Applications are reviewed outside the committee by a qualified statistician	NA	Statisticians' expertise is not necessary for the decision-making process	NA	NA	NA	NA	Yes	NA	NA	NA	52.1666666666667	(75,100]	No	No	No
4	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	17	38	NA	NA	38	100	NA	NA	Yes	No	NA	BSc Statistics	NA	NA	MBiostat	NA	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	Other, please specify	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	14.0333333333333	(75,100]	Yes	No	Yes
5	100	TRUE	2024-05-20	NA	NA	NA	Full member	Coordinator or Officer	Statistician	NA	NA	NA	8	9	NA	NA	12	75	NA	NA	Yes	No	NA	BSc Statistics	NA	NA	NA	NA	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Usually	5.76666666666667	(75,100]	Yes	No	Yes
6	100	TRUE	2024-05-20	NA	Co-chair	NA	NA	NA	NA	NA	NA	NA	28	48	NA	NA	60	80	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	143.083333333333	(75,100]	Unknown	Unknown	Unknown
7	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	17	250	240	260	340	35	NA	NA	Yes	Yes	NA	BSc Statistics	NA	NA	MBiostat	Phd Statistics	Accredited statistician from a professional society, e.g., Statistical Society of Australia	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	11.0333333333333	(75,100]	Yes	Yes	Yes
8	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	20	20	15	25	30	60	50	70	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	0 to 1 years ago	Within committee	NA	NA	NA	NA	NA	Other, please specify	Yes	NA	NA	NA	14.2166666666667	(75,100]	No	No	No
9	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	8	0	NA	NA	4	0	NA	NA	No	Yes	NA	NA	NA	NA	NA	NA	NA	Don’t know	NA	Yes, part-time	When the committee and/or chair feels unable to assess the statistical methods	2 to 3 years ago	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	Only need occasional statistical expertise	NA	NA	NA	No	No	Always	Always	57.8833333333333	(75,100]	No	No	No
10	100	TRUE	2024-05-20	Chair	NA	NA	NA	NA	NA	NA	NA	NA	10	50	30	55	60	85	50	95	Yes	NA	NA	NA	NA	NA	NA	Phd Statistics	NA	NA	NA	Yes, full-time	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Always	Always	3.86666666666667	(75,100]	Yes	Unknown	Yes
11	100	TRUE	2024-05-20	NA	NA	NA	NA	Coordinator or Officer	NA	NA	NA	Other - please specify	13	27	NA	NA	NA	NA	NA	NA	No	No	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	Never had one	Applications are reviewed outside the committee by a methods review panel or scientific sub-committee	NA	NA	NA	Other committee members are able to cover statistical questions	NA	Other, please specify	No	No	NA	NA	14.0166666666667	(75,100]	No	No	No
